"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13"
"254",9.75,118.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",9.75,119.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",9.75,119.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",9.75,120.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",9.75,120.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",9.75,121.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",9.75,121.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",10.25,109.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",10.25,109.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",10.25,110.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",10.25,110.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",10.25,111.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",10.25,111.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",10.25,112.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",10.25,112.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",10.25,113.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",10.25,113.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",10.25,114.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",10.25,114.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",10.25,115.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",10.25,115.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",10.25,116.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
