"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"163",8.25,112.25,405.9,407.69,416.95,417.84,420.3,417.86,416.16,414.12,416.07,414.74,420.93,413.46,409.84,419.98,419.49
"164",8.25,112.75,402.75,408.89,418.91,416.74,418.61,419.29,411.95,415.1,416.95,413.4,421.74,416.35,413.97,414.39,417.19
"165",8.25,113.25,401.55,410.53,419.09,419.34,423.86,419.48,412.07,417.42,417.19,414.57,423.86,413.79,410.43,415.74,417
"166",8.25,113.75,405.18,410.62,419.51,417.73,421.13,421.62,414.56,415.75,419.4,416.35,422.35,413.93,406.54,415.25,418.86
"167",8.25,114.25,405.69,410.36,418,419.85,413.91,421.47,412.37,417.22,420.05,417.69,422.63,416.72,413.34,420.4,420.8
"168",8.25,114.75,404.34,413.72,421.23,421.8,413.91,423.69,419,420.2,421.62,418.64,423.9,419.73,416.67,423.05,421.03
"169",8.25,115.25,402.7,413.58,416.98,420.03,413.79,422.65,419.12,419.19,419.52,417.98,423.21,419.04,414.67,421.38,418.5
"170",8.25,115.75,406.04,415.22,416.86,418.74,416.87,422.08,420.27,420.69,417.57,418.43,422.51,418.08,415.32,416.8,419.24
"171",8.25,116.25,407.34,415.42,414.24,418.55,415.88,423.9,419.62,420.14,417.78,416,423.91,419,420.22,420.74,420.69
"172",8.25,116.75,410.9,417.39,417.94,421.06,418.37,425.75,420.06,424.65,422.21,419.31,425.25,421.07,422.19,422.89,419.93
"173",8.25,117.25,418.35,424.49,425.59,425.29,421.61,428.76,426.63,425.84,423.6,424.95,430.24,422.09,425.84,428.46,424.71
"174",8.25,117.75,416.76,422.36,425.72,424.11,423.39,426.45,424.13,425.4,421.13,421.09,426.88,421.46,423.23,426.43,424.06
"175",8.25,118.25,416.93,420.88,424.64,417.62,420.88,424.38,420.53,424.4,420.9,420.25,427.89,417.76,420.2,427.64,420.47
"176",8.25,118.75,419.09,419.78,422.29,414.52,419.2,422.2,422.04,423.16,418.15,423.02,425.64,416.98,418.38,426.65,418.28
"177",8.25,119.25,417.76,419.82,422.54,416.27,418.55,423.82,421.11,423.84,416.1,420.96,426.95,416.85,417.89,427.17,417.71
"178",8.25,119.75,419.1,418.27,421.43,419.96,417.42,426.55,419.93,423,417.46,416.36,427.02,415.07,418.4,427.01,416.75
"179",8.25,120.25,420.91,415.2,419.06,418.81,416.11,426.19,416.23,420.46,419.64,417.16,427.48,415.77,419.19,426.52,415.33
"180",8.25,120.75,413.93,413.98,422.92,419.16,413.36,423.69,417.44,422.33,421.09,415.58,425.31,418.64,420.1,426.91,414.58
"181",8.25,121.25,410.19,413.34,422.78,420.89,412.64,421.26,416.65,423.27,419.86,416.47,424.31,415.47,420.29,424.64,416.7
"182",8.25,121.75,411.98,415.28,416.1,423.81,412.77,422.86,415.88,424.18,422.59,420.04,424.39,418.5,420.66,425.91,416.54
"183",8.75,109.25,403.19,413.57,416.35,416.61,407.5,420.82,409.66,420.39,416.04,414.72,423.67,411.92,411.2,420.28,413.27
"184",8.75,109.75,403.98,414.31,414.17,415.89,406.58,418.05,407.26,419.04,419.8,411.29,422.01,409.67,410.82,419.16,412.37
"185",8.75,110.25,403.87,413.13,414.6,417.44,409.05,418.2,411.35,419.6,415.82,412.2,423.99,411.3,409.52,419.98,412.39
"186",8.75,110.75,402.93,411.93,414.94,423.43,409.78,417.57,413.59,421.43,409.81,412.81,422.68,409.49,410.63,418.5,410.66
"187",8.75,111.25,402.71,409.23,414.88,419.17,406.97,414.65,415.69,419.68,414.7,416.42,422.33,411.9,410.35,416.46,419.13
"188",8.75,111.75,401.99,408.9,415.14,419.17,414.17,413.85,415.14,413.77,414.51,417.32,421.99,412.07,411.36,416.39,419.2
"189",8.75,112.25,410.82,407.71,414.78,419.94,420.53,413.21,413.54,412.12,411.6,414,423.32,412.92,406.06,418.41,409.14
"190",8.75,112.75,410.34,409.21,416.47,418.87,416.84,417.28,410.19,413.63,416.49,409.14,422.61,411.27,406.6,416.98,415.99
"191",8.75,113.25,401.59,411.74,417.63,417.14,419.32,420.07,410.15,413.81,415.58,409.35,422.05,410.07,406.69,416.96,416.16
"192",8.75,113.75,403.98,411.37,417.46,416.53,419.06,421.02,409.73,414.14,418.67,414.36,422.87,411.28,407.57,419.79,413.93
"193",8.75,114.25,402.91,411.12,417.52,415.94,419.15,419.67,414.19,414.07,418.79,414.04,424.23,413.89,414.88,418.06,418.1
"194",8.75,114.75,401.39,412.73,415.07,419.15,413.2,421.31,410.46,415.18,417.21,412.8,422.64,415.5,410.93,419.65,414.66
"195",8.75,115.25,398.18,413.88,416.29,418.69,411.82,422.11,414.99,415.47,417.39,416.65,422.52,417.82,410.99,422.36,416.4
"196",8.75,115.75,398.82,412.58,417.57,419.99,415.66,417.16,416.98,418.44,418.4,414.74,422.27,417.26,409.34,417.96,417.97
